sample_id	taxon_id	reads
SRR10484371	2	34847
SRR10484376	2	20073
SRR10484377	2	24211
SRR10484382	2	28748
SRR10484388	2	9236
SRR10484393	2	16924
SRR10484399	2	8817
SRR10484404	2	27593
SRR10484410	2	14985
SRR10484415	2	14872
SRR10484421	2	24617
SRR10484426	2	11506
SRR10484431	2	34212
SRR10484432	2	11836
SRR10484437	2	8771
SRR10484443	2	22040
SRR10484448	2	25991
SRR10484454	2	10524
SRR10484459	2	34559
SRR10484371	976	20467
SRR10484376	976	928
SRR10484377	976	12378
SRR10484382	976	6872
SRR10484388	976	21230
SRR10484393	976	4666
SRR10484399	976	833
SRR10484404	976	10771
SRR10484410	976	10029
SRR10484415	976	10448
SRR10484421	976	8024
SRR10484426	976	117
SRR10484431	976	396
SRR10484432	976	106
SRR10484437	976	125
SRR10484443	976	21602
SRR10484448	976	29054
SRR10484454	976	718
SRR10484459	976	1466
SRR10484371	200643	544
SRR10484376	200643	83
SRR10484377	200643	639
SRR10484382	200643	268
SRR10484388	200643	119
SRR10484393	200643	72
SRR10484399	200643	25
SRR10484404	200643	408
SRR10484410	200643	359
SRR10484415	200643	471
SRR10484421	200643	441
SRR10484426	200643	5
SRR10484431	200643	23
SRR10484432	200643	2
SRR10484437	200643	1
SRR10484443	200643	563
SRR10484448	200643	644
SRR10484454	200643	19
SRR10484459	200643	35
SRR10484371	171549	469976
SRR10484376	171549	5674
SRR10484377	171549	95126
SRR10484382	171549	48832
SRR10484388	171549	87372
SRR10484393	171549	30691
SRR10484399	171549	17639
SRR10484404	171549	142175
SRR10484410	171549	105537
SRR10484415	171549	74504
SRR10484421	171549	85016
SRR10484426	171549	922
SRR10484431	171549	3153
SRR10484432	171549	612
SRR10484437	171549	806
SRR10484443	171549	201454
SRR10484448	171549	410422
SRR10484454	171549	5362
SRR10484459	171549	8295
SRR10484371	816	1376455
SRR10484376	816	7535
SRR10484377	816	158247
SRR10484382	816	57202
SRR10484388	816	396196
SRR10484393	816	32907
SRR10484399	816	25787
SRR10484404	816	420526
SRR10484410	816	675847
SRR10484415	816	37083
SRR10484421	816	190372
SRR10484426	816	1645
SRR10484431	816	3574
SRR10484432	816	746
SRR10484437	816	2146
SRR10484443	816	687477
SRR10484448	816	133374
SRR10484454	816	7358
SRR10484459	816	8661
SRR10484371	821	7692595
SRR10484376	821	22637
SRR10484377	821	892424
SRR10484382	821	193091
SRR10484388	821	1513176
SRR10484393	821	110369
SRR10484399	821	122321
SRR10484404	821	1601380
SRR10484410	821	2554479
SRR10484415	821	111099
SRR10484421	821	815904
SRR10484426	821	5197
SRR10484431	821	13509
SRR10484432	821	2483
SRR10484437	821	11183
SRR10484443	821	3298031
SRR10484448	821	48015
SRR10484454	821	34309
SRR10484459	821	32070
SRR10484371	28116	1221381
SRR10484376	28116	8843
SRR10484377	28116	65768
SRR10484382	28116	85556
SRR10484388	28116	2743818
SRR10484393	28116	98267
SRR10484399	28116	53745
SRR10484404	28116	498449
SRR10484410	28116	8471
SRR10484415	28116	65131
SRR10484421	28116	299047
SRR10484426	28116	1473
SRR10484431	28116	1631
SRR10484432	28116	752
SRR10484437	28116	4599
SRR10484443	28116	379225
SRR10484448	28116	2799716
SRR10484454	28116	9318
SRR10484459	28116	21071
SRR10484371	47678	1037523
SRR10484376	47678	5674
SRR10484377	47678	325868
SRR10484382	47678	88725
SRR10484388	47678	26184
SRR10484393	47678	64395
SRR10484399	47678	42358
SRR10484404	47678	24868
SRR10484410	47678	2124
SRR10484415	47678	82939
SRR10484421	47678	13818
SRR10484426	47678	557
SRR10484431	47678	1345
SRR10484432	47678	927
SRR10484437	47678	2817
SRR10484443	47678	404069
SRR10484448	47678	487864
SRR10484454	47678	9499
SRR10484459	47678	1308
SRR10484371	818	848710
SRR10484376	818	25436
SRR10484377	818	230847
SRR10484382	818	110648
SRR10484388	818	69157
SRR10484393	818	40045
SRR10484399	818	29930
SRR10484404	818	80510
SRR10484410	818	5970
SRR10484415	818	80086
SRR10484421	818	32699
SRR10484426	818	653
SRR10484431	818	1329
SRR10484432	818	2228
SRR10484437	818	1519
SRR10484443	818	612429
SRR10484448	818	719072
SRR10484454	818	7552
SRR10484459	818	6848
SRR10484371	1796613	807660
SRR10484376	1796613	2507
SRR10484377	1796613	17629
SRR10484382	1796613	33657
SRR10484388	1796613	251619
SRR10484393	1796613	43876
SRR10484399	1796613	36908
SRR10484404	1796613	185178
SRR10484410	1796613	18729
SRR10484415	1796613	35762
SRR10484421	1796613	38165
SRR10484426	1796613	356
SRR10484431	1796613	1007
SRR10484432	1796613	305
SRR10484437	1796613	736
SRR10484443	1796613	279794
SRR10484448	1796613	244402
SRR10484454	1796613	3085
SRR10484459	1796613	2883
SRR10484371	817	713446
SRR10484376	817	17788
SRR10484377	817	41886
SRR10484382	817	35436
SRR10484388	817	139948
SRR10484393	817	25761
SRR10484399	817	18413
SRR10484404	817	248647
SRR10484410	817	32911
SRR10484415	817	31204
SRR10484421	817	126464
SRR10484426	817	828
SRR10484431	817	2232
SRR10484432	817	3071
SRR10484437	817	1331
SRR10484443	817	191191
SRR10484448	817	159215
SRR10484454	817	4288
SRR10484459	817	6931
SRR10484371	357276	418457
SRR10484376	357276	3644
SRR10484377	357276	39971
SRR10484382	357276	14383
SRR10484388	357276	122484
SRR10484393	357276	10282
SRR10484399	357276	7962
SRR10484404	357276	87854
SRR10484410	357276	129468
SRR10484415	357276	10817
SRR10484421	357276	63642
SRR10484426	357276	392
SRR10484431	357276	801
SRR10484432	357276	613
SRR10484437	357276	775
SRR10484443	357276	819449
SRR10484448	357276	18328
SRR10484454	357276	2948
SRR10484459	357276	4289
SRR10484371	246787	65695
SRR10484376	246787	3709
SRR10484377	246787	9574
SRR10484382	246787	123297
SRR10484388	246787	33663
SRR10484393	246787	6792
SRR10484399	246787	3153
SRR10484404	246787	65611
SRR10484410	246787	15475
SRR10484415	246787	12548
SRR10484421	246787	266614
SRR10484426	246787	1126
SRR10484431	246787	2063
SRR10484432	246787	440
SRR10484437	246787	296
SRR10484443	246787	59738
SRR10484448	246787	15988
SRR10484454	246787	1871
SRR10484459	246787	1438
SRR10484371	290053	49608
SRR10484376	290053	1162
SRR10484377	290053	9993
SRR10484382	290053	7081
SRR10484388	290053	26707
SRR10484393	290053	6789
SRR10484399	290053	3037
SRR10484404	290053	52860
SRR10484410	290053	1252
SRR10484415	290053	5760
SRR10484421	290053	38194
SRR10484426	290053	173
SRR10484431	290053	139
SRR10484432	290053	134
SRR10484437	290053	327
SRR10484443	290053	37988
SRR10484448	290053	5246
SRR10484454	290053	1044
SRR10484459	290053	766
SRR10484371	376805	19414
SRR10484376	376805	1080
SRR10484377	376805	14981
SRR10484382	376805	4916
SRR10484388	376805	6511
SRR10484393	376805	2660
SRR10484399	376805	985
SRR10484404	376805	14359
SRR10484410	376805	15820
SRR10484415	376805	3884
SRR10484421	376805	8287
SRR10484426	376805	80
SRR10484431	376805	252
SRR10484432	376805	89
SRR10484437	376805	123
SRR10484443	376805	21785
SRR10484448	376805	5917
SRR10484454	376805	502
SRR10484459	376805	719
SRR10484371	28113	18208
SRR10484376	28113	598
SRR10484377	28113	5426
SRR10484382	28113	4059
SRR10484388	28113	19214
SRR10484393	28113	3982
SRR10484399	28113	1634
SRR10484404	28113	28030
SRR10484410	28113	1608
SRR10484415	28113	3362
SRR10484421	28113	21055
SRR10484426	28113	106
SRR10484431	28113	95
SRR10484432	28113	76
SRR10484437	28113	306
SRR10484443	28113	24996
SRR10484448	28113	6064
SRR10484454	28113	553
SRR10484459	28113	402
SRR10484371	28119	13618
SRR10484376	28119	597
SRR10484377	28119	3928
SRR10484382	28119	3761
SRR10484388	28119	10284
SRR10484393	28119	2960
SRR10484399	28119	1078
SRR10484404	28119	20554
SRR10484410	28119	864
SRR10484415	28119	2963
SRR10484421	28119	14880
SRR10484426	28119	77
SRR10484431	28119	92
SRR10484432	28119	79
SRR10484437	28119	121
SRR10484443	28119	17914
SRR10484448	28119	2406
SRR10484454	28119	431
SRR10484459	28119	430
SRR10484371	151276	742
SRR10484376	151276	490
SRR10484377	151276	1734
SRR10484382	151276	458
SRR10484388	151276	484
SRR10484393	151276	309
SRR10484399	151276	44
SRR10484404	151276	842
SRR10484410	151276	104
SRR10484415	151276	1033
SRR10484421	151276	540
SRR10484426	151276	5
SRR10484431	151276	16
SRR10484432	151276	15
SRR10484437	151276	17
SRR10484443	151276	659
SRR10484448	151276	634
SRR10484454	151276	45
SRR10484459	151276	81
SRR10484371	2005525	164
SRR10484376	2005525	8
SRR10484377	2005525	201
SRR10484382	2005525	42
SRR10484388	2005525	38
SRR10484393	2005525	32
SRR10484399	2005525	9
SRR10484404	2005525	16
SRR10484410	2005525	43
SRR10484415	2005525	134
SRR10484421	2005525	106
SRR10484426	2005525	1
SRR10484431	2005525	9
SRR10484432	2005525	0
SRR10484437	2005525	0
SRR10484443	2005525	78
SRR10484448	2005525	208
SRR10484454	2005525	4
SRR10484459	2005525	13
SRR10484371	375288	713467
SRR10484376	375288	4034
SRR10484377	375288	34476
SRR10484382	375288	33963
SRR10484388	375288	62740
SRR10484393	375288	8532
SRR10484399	375288	27842
SRR10484404	375288	5839
SRR10484410	375288	7309
SRR10484415	375288	17161
SRR10484421	375288	152309
SRR10484426	375288	948
SRR10484431	375288	2753
SRR10484432	375288	444
SRR10484437	375288	756
SRR10484443	375288	95176
SRR10484448	375288	720080
SRR10484454	375288	3662
SRR10484459	375288	4274
SRR10484371	2025876	296498
SRR10484376	2025876	2231
SRR10484377	2025876	19305
SRR10484382	2025876	20182
SRR10484388	2025876	48720
SRR10484393	2025876	7190
SRR10484399	2025876	11481
SRR10484404	2025876	8171
SRR10484410	2025876	7755
SRR10484415	2025876	7040
SRR10484421	2025876	59375
SRR10484426	2025876	376
SRR10484431	2025876	1213
SRR10484432	2025876	343
SRR10484437	2025876	431
SRR10484443	2025876	61881
SRR10484448	2025876	308018
SRR10484454	2025876	2600
SRR10484459	2025876	2548
SRR10484371	823	269764
SRR10484376	823	1020
SRR10484377	823	14798
SRR10484382	823	13032
SRR10484388	823	27688
SRR10484393	823	2736
SRR10484399	823	10628
SRR10484404	823	9583
SRR10484410	823	8849
SRR10484415	823	5809
SRR10484421	823	64565
SRR10484426	823	335
SRR10484431	823	813
SRR10484432	823	113
SRR10484437	823	236
SRR10484443	823	43393
SRR10484448	823	287176
SRR10484454	823	1013
SRR10484459	823	3493
SRR10484371	195950	150
SRR10484376	195950	3
SRR10484377	195950	257
SRR10484382	195950	37
SRR10484388	195950	35
SRR10484393	195950	6
SRR10484399	195950	5
SRR10484404	195950	47
SRR10484410	195950	49
SRR10484415	195950	82
SRR10484421	195950	111
SRR10484426	195950	3
SRR10484431	195950	13
SRR10484432	195950	0
SRR10484437	195950	1
SRR10484443	195950	142
SRR10484448	195950	35
SRR10484454	195950	9
SRR10484459	195950	7
SRR10484371	712710	1518
SRR10484376	712710	269
SRR10484377	712710	1328
SRR10484382	712710	835
SRR10484388	712710	919
SRR10484393	712710	338
SRR10484399	712710	112
SRR10484404	712710	858
SRR10484410	712710	372
SRR10484415	712710	1440
SRR10484421	712710	1081
SRR10484426	712710	207
SRR10484431	712710	48
SRR10484432	712710	61
SRR10484437	712710	562
SRR10484443	712710	1647
SRR10484448	712710	1995
SRR10484454	712710	66
SRR10484459	712710	259
SRR10484371	28112	968
SRR10484376	28112	54
SRR10484377	28112	1835
SRR10484382	28112	607
SRR10484388	28112	178
SRR10484393	28112	278
SRR10484399	28112	80
SRR10484404	28112	833
SRR10484410	28112	307
SRR10484415	28112	971
SRR10484421	28112	975
SRR10484426	28112	8
SRR10484431	28112	59
SRR10484432	28112	11
SRR10484437	28112	4
SRR10484443	28112	751
SRR10484448	28112	1744
SRR10484454	28112	62
SRR10484459	28112	148
SRR10484371	171550	25
SRR10484376	171550	0
SRR10484377	171550	14
SRR10484382	171550	1
SRR10484388	171550	0
SRR10484393	171550	4
SRR10484399	171550	3
SRR10484404	171550	18
SRR10484410	171550	40
SRR10484415	171550	85
SRR10484421	171550	40
SRR10484426	171550	0
SRR10484431	171550	3
SRR10484432	171550	0
SRR10484437	171550	0
SRR10484443	171550	35
SRR10484448	171550	241
SRR10484454	171550	0
SRR10484459	171550	0
SRR10484371	239759	62246
SRR10484376	239759	195
SRR10484377	239759	5154
SRR10484382	239759	4059
SRR10484388	239759	776
SRR10484393	239759	2198
SRR10484399	239759	5095
SRR10484404	239759	3994
SRR10484410	239759	4076
SRR10484415	239759	8551
SRR10484421	239759	6289
SRR10484426	239759	105
SRR10484431	239759	272
SRR10484432	239759	15
SRR10484437	239759	40
SRR10484443	239759	10378
SRR10484448	239759	157100
SRR10484454	239759	471
SRR10484459	239759	351
SRR10484371	214856	872125
SRR10484376	214856	1026
SRR10484377	214856	17750
