accession	strain	sample_id	reads
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	508_t0	1836
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t2	1872
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t3	2542
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t3	3060
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t3	2950
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t1	1757
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t3	2945
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t1	2864
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	519_t0	3095
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t0	2142
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t2	2558
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t2	2230
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t2	1526
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t1	2256
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t3	2220
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	517_t0	2532
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t1	1584
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t0	2193
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	537_t3	2206
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t0	3163
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t3	3290
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t3	3072
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t3	2020
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t3	3006
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t2	2705
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	524_t2	3660
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	534_t2	2499
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t1	2021
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t1	2313
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t3	3060
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	506_t1	1803
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	523_t2	628
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t2	2056
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t3	508
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	511_t3	617
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t0	2193
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t2	2184
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	538_t1	1987
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t2	2374
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	518_t1	2786
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	505_t1	1620
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	512_t2	1239
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t3	2859
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	516_t0	2031
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	532_t1	3026
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	522_t2	2910
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	504_t2	1059
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	507_t2	2001
NP_388442.1	Bacillus subtilis subsp. subtilis str. 168	528_t3	1014
